A, b ready
BICGSTAB: system of size 252004
    k     ‖rₖ‖      |αₖ|      |ωₖ|  timer
  473  3.9e+04   1.5e-06   2.4e-06  1.85s
  474  3.7e+04   3.9e-06   5.2e-07  1.85s
  475  3.7e+04   1.7e-06   1.2e-06  1.86s
  476  5.2e+04   2.5e-06   9.5e-07  1.86s
  477  4.3e+04   4.3e-07   1.5e-04  1.87s
  478  4.3e+04   1.4e-06   6.0e-07  1.87s
  479  4.3e+04   8.9e-07   5.2e-06  1.87s
  480  4.2e+04   8.7e-06   5.7e-07  1.88s
  481  4.1e+04   2.3e-06   1.5e-06  1.88s
  482  3.7e+04   1.2e-05   5.0e-07  1.89s
  483  3.7e+04   2.2e-07   3.4e-06  1.89s
  484  3.7e+04   7.9e-07   1.8e-06  1.90s
  485  3.7e+04   2.5e-06   2.3e-05  1.90s
  486  3.7e+04   3.2e-06   5.1e-07  1.91s
  487  3.9e+04   7.0e-06   8.2e-07  1.91s
  488  3.7e+04   2.6e-07   4.1e-05  1.91s
  489  3.7e+04   2.5e-06   6.8e-07  1.92s
  490  3.6e+04   1.7e-06   6.8e-07  1.92s
  491  3.6e+04   2.1e-06   6.1e-07  1.93s
  492  3.6e+04   1.7e-06   5.5e-06  1.93s
  493  3.6e+04   2.1e-06   5.0e-07  1.94s
  494  3.5e+04   1.4e-05   2.1e-06  1.94s
  495  3.6e+04   1.1e-06   2.4e-06  1.95s
  496  3.6e+04   4.3e-07   8.7e-06  1.95s
  497  3.6e+04   6.7e-06   5.3e-07  1.95s
  498  3.4e+04   5.8e-06   1.1e-06  1.96s
  499  3.5e+04   3.2e-07   5.4e-06  1.96s
  500  3.5e+04   1.7e-06   5.3e-07  1.97s
  501  3.5e+04   1.9e-06   6.0e-06  1.97s
  502  3.5e+04   3.1e-06   5.2e-07  1.98s
  503  3.5e+04   1.2e-06   3.2e-05  1.98s
  504  3.5e+04   1.6e-06   6.6e-07  1.99s
  505  3.4e+04   6.1e-06   9.4e-07  1.99s
  506  3.4e+04   4.1e-06   8.3e-07  1.99s
  507  3.4e+04   1.2e-07   1.9e-04  2.00s
  508  3.4e+04   1.1e-07   5.5e-07  2.00s
  509  3.4e+04   1.3e-04   5.0e-07  2.01s
  510  3.4e+04   3.2e-06   1.0e-06  2.01s
  511  3.4e+04   1.3e-06   1.6e-06  2.02s
  512  3.4e+04   2.2e-06   7.5e-07  2.02s
  513  3.5e+04   6.9e-05   5.6e-07  2.03s
  514  3.3e+04   8.4e-08   1.3e-04  2.03s
  515  3.3e+04   1.8e-06   5.5e-07  2.03s
  516  3.3e+04   1.5e-06   9.9e-07  2.04s
  517  3.3e+04   2.3e-06   4.2e-06  2.04s
  518  3.3e+04   1.5e-06   8.1e-07  2.05s
  519  3.2e+04   2.3e-06   5.0e-07  2.05s
  520  3.2e+04   6.9e-07   4.0e-05  2.06s
  521  3.2e+04   2.0e-06   2.6e-06  2.06s
  522  3.2e+04   5.6e-06   8.7e-07  2.06s
  523  3.2e+04   8.5e-07   6.3e-07  2.06s
  524  3.2e+04   2.0e-06   1.3e-06  2.07s
  525  3.2e+04   1.0e-06   7.5e-07  2.07s
  526  3.2e+04   1.2e-05   1.3e-06  2.07s
  527  3.2e+04   3.4e-06   5.3e-07  2.08s
  528  3.2e+04   3.1e-07   2.0e-05  2.08s
  529  3.2e+04   1.2e-05   5.1e-07  2.08s
  530  3.2e+04   1.4e-06   2.3e-05  2.08s
  531  3.2e+04   1.1e-06   5.1e-07  2.09s
  532  3.2e+04   2.6e-07   3.9e-05  2.09s
  533  3.2e+04   8.9e-07   3.0e-06  2.09s
  534  3.2e+04   4.0e-06   6.5e-07  2.09s
  535  3.2e+04   3.3e-06   1.3e-06  2.10s
  536  3.2e+04   1.1e-05   5.5e-07  2.10s
  537  3.3e+04   2.8e-06   3.9e-06  2.10s
  538  3.3e+04   6.4e-07   6.6e-07  2.10s
  539  3.1e+04   6.1e-06   4.8e-06  2.11s
  540  3.1e+04   2.7e-06   5.1e-07  2.11s
  541  3.1e+04   1.7e-06   1.3e-06  2.11s
  542  3.2e+04   1.9e-05   1.2e-06  2.11s
  543  3.1e+04   1.2e-07   9.8e-06  2.12s
  544  3.1e+04   1.0e-06   5.0e-07  2.12s
  545  3.1e+04   5.5e-06   9.3e-05  2.12s
  546  3.0e+04   5.4e-08   6.6e-07  2.12s
  547  3.0e+04   7.8e-05   1.3e-06  2.13s
  548  3.0e+04   7.2e-07   4.9e-06  2.13s
  549  3.0e+04   1.6e-06   5.1e-07  2.13s
  550  3.1e+04   5.0e-05   5.8e-07  2.13s
  551  3.0e+04   2.2e-08   1.1e-05  2.14s
  552  3.0e+04   7.6e-06   1.6e-06  2.14s
  553  3.0e+04   7.1e-06   5.3e-07  2.14s
  554  3.0e+04   8.6e-07   5.9e-06  2.14s
  555  3.0e+04   2.3e-06   1.1e-06  2.15s
  556  3.0e+04   2.4e-06   7.1e-07  2.15s
  557  3.0e+04   1.9e-06   6.0e-07  2.15s
  558  3.0e+04   2.3e-06   6.5e-07  2.16s
  559  5.2e+04   1.1e-05   1.4e-06  2.16s
  560  5.8e+04   1.5e-06   5.8e-07  2.16s
  561  9.4e+04   9.5e-06   6.6e-07  2.16s
  562  7.4e+04   1.5e-07   1.7e-03  2.17s
  563  4.9e+04   5.5e-06   5.2e-07  2.17s
  564  2.9e+04   2.1e-06   1.8e-06  2.17s
  565  2.9e+04   8.3e-07   5.9e-07  2.17s
  566  2.8e+04   8.9e-07   3.9e-06  2.18s
  567  2.7e+04   2.2e-06   5.9e-07  2.18s
  568  2.8e+04   1.1e-06   6.1e-06  2.18s
  569  2.8e+04   1.9e-06   2.4e-06  2.18s
  570  2.8e+04   2.3e-06   5.1e-07  2.19s
  571  2.8e+04   1.4e-06   2.4e-05  2.19s
  572  2.9e+04   2.8e-05   5.3e-07  2.19s
  573  2.8e+04   1.3e-07   9.1e-07  2.19s
  574  2.8e+04   9.9e-08   9.6e-07  2.20s
  575  2.8e+04   2.8e-05   7.5e-06  2.20s
  576  2.8e+04   5.9e-06   5.2e-07  2.20s
  577  2.8e+04   1.9e-07   1.3e-05  2.20s
  578  2.8e+04   3.1e-06   5.6e-07  2.21s
  579  3.1e+04   1.2e-04   6.2e-07  2.21s
  580  2.8e+04   1.2e-07   1.7e-06  2.21s
  581  2.8e+04   2.2e-06   5.1e-07  2.21s
  582  2.8e+04   9.5e-07   7.5e-04  2.22s
  583  3.1e+04   2.8e-06   5.4e-07  2.22s
  584  2.8e+04   1.1e-07   1.5e-06  2.22s
  585  2.9e+04   5.0e-05   6.1e-07  2.22s
  586  2.9e+04   3.6e-07   1.6e-06  2.23s
  587  3.0e+04   2.5e-05   5.0e-07  2.23s
  588  2.9e+04   2.2e-07   1.7e-06  2.23s
  589  3.0e+04   2.8e-06   7.5e-06  2.23s
  590  3.0e+04   8.7e-07   5.7e-07  2.24s
  591  3.0e+04   1.2e-06   3.1e-06  2.24s
  592  3.0e+04   1.2e-07   1.3e-06  2.24s
  593  3.2e+04   2.2e-03   6.0e-07  2.24s
  594  3.0e+04   1.2e-08   2.1e-05  2.25s
  595  3.0e+04   8.4e-07   5.5e-07  2.25s
  596  3.9e+04   1.2e-03   5.3e-07  2.25s
  597  2.9e+04   2.1e-08   7.7e-07  2.25s
  598  3.0e+04   1.8e-06   2.4e-06  2.26s
  599  2.9e+04   2.3e-06   2.8e-06  2.26s
  600  2.9e+04   4.8e-07   5.3e-07  2.26s
  601  2.9e+04   1.6e-06   2.4e-04  2.27s
  602  2.9e+04   1.3e-06   5.1e-07  2.27s
  603  2.9e+04   3.2e-06   8.7e-07  2.27s
  604  2.9e+04   2.5e-06   5.3e-07  2.27s
  605  2.9e+04   2.6e-06   1.3e-06  2.28s
  606  2.9e+04   3.4e-07   1.9e-05  2.28s
  607  2.9e+04   6.9e-06   7.8e-07  2.28s
  608  3.0e+04   1.3e-06   5.9e-07  2.28s
  609  3.0e+04   4.5e-06   9.1e-07  2.29s
  610  3.0e+04   3.8e-06   5.3e-07  2.29s
  611  3.0e+04   2.5e-07   2.7e-04  2.29s
  612  3.0e+04   5.6e-06   6.0e-07  2.29s
  613  3.2e+04   1.2e-05   5.5e-07  2.30s
  614  3.1e+04   3.0e-07   1.9e-06  2.30s
  615  3.1e+04   2.7e-07   1.3e-06  2.30s
  616  3.0e+04   3.9e-05   6.4e-07  2.30s
  617  3.2e+04   3.3e-06   5.9e-07  2.31s
  618  2.8e+04   9.0e-06   5.3e-07  2.31s
  619  3.1e+04   3.0e-07   2.1e-06  2.31s
  620  3.6e+04   4.3e-07   2.6e-05  2.31s
  621  3.6e+04   9.3e-07   5.5e-06  2.32s
  622  3.6e+04   6.3e-07   6.3e-07  2.32s
  623  3.7e+04   2.5e-05   5.1e-07  2.32s
  624  3.6e+04   8.1e-08   2.4e-06  2.33s
  625  3.4e+04   3.3e-05   5.6e-07  2.33s
  626  3.4e+04   2.3e-07   3.1e-06  2.33s
  627  3.4e+04   1.7e-06   2.1e-05  2.33s
  628  3.4e+04   3.9e-06   8.0e-07  2.34s
  629  3.4e+04   1.5e-07   1.3e-06  2.34s
  630  3.4e+04   3.4e-05   5.0e-07  2.34s
  631  3.4e+04   1.1e-06   2.4e-05  2.34s
  632  3.4e+04   4.6e-06   7.3e-07  2.35s
  633  3.4e+04   9.0e-07   9.2e-07  2.35s
  634  3.4e+04   2.4e-07   7.3e-07  2.35s
  635  3.5e+04   3.2e-05   7.0e-06  2.35s
  636  3.6e+04   2.1e-06   5.2e-07  2.36s
  637  3.7e+04   4.9e-06   1.1e-06  2.36s
  638  3.7e+04   4.2e-07   3.9e-05  2.36s
  639  3.6e+04   3.4e-06   5.0e-07  2.36s
  640  3.8e+04   1.6e-06   3.1e-05  2.37s
  641  3.8e+04   4.2e-07   1.1e-06  2.37s
  642  3.9e+04   8.7e-06   2.6e-06  2.37s
  643  4.0e+04   1.8e-06   6.5e-07  2.37s
  644  4.0e+04   1.7e-07   4.2e-06  2.38s
  645  4.1e+04   1.4e-04   5.3e-07  2.38s
  646  4.2e+04   8.6e-07   2.0e-06  2.38s
  647  4.0e+04   9.5e-07   1.0e-06  2.38s
  648  4.0e+04   1.3e-06   5.4e-07  2.39s
  649  4.2e+04   2.9e-05   7.0e-07  2.39s
  650  4.1e+04   2.7e-07   5.8e-05  2.39s
  651  4.3e+04   4.7e-06   5.0e-07  2.40s
  652  4.2e+04   2.7e-07   2.6e-04  2.40s
  653  4.4e+04   1.6e-05   7.8e-07  2.40s
  654  4.0e+04   1.5e-06   5.9e-07  2.40s
  655  4.1e+04   1.4e-06   6.3e-07  2.41s
  656  4.6e+04   2.6e-06   1.3e-06  2.41s
  657  5.1e+04   2.1e-06   1.7e-06  2.41s
  658  5.1e+04   3.3e-07   1.9e-06  2.41s
  659  5.2e+04   5.7e-06   5.2e-07  2.42s
  660  5.2e+04   1.5e-06   3.0e-06  2.42s
  661  5.2e+04   1.3e-06   2.0e-06  2.42s
  662  5.2e+04   2.4e-07   9.9e-07  2.42s
  663  5.2e+04   2.6e-05   5.1e-07  2.43s
  664  5.3e+04   4.6e-06   1.0e-05  2.43s
  665  5.5e+04   2.4e-06   5.8e-07  2.43s
  666  4.8e+04   5.3e-06   1.9e-04  2.43s
  667  5.1e+04   9.4e-07   5.0e-07  2.44s
  668  5.0e+04   3.8e-07   7.8e-06  2.44s
  669  5.0e+04   4.1e-06   9.1e-07  2.44s
  670  5.0e+04   3.2e-07   1.5e-05  2.44s
  671  5.0e+04   2.4e-06   5.3e-07  2.45s
  672  5.0e+04   3.9e-06   1.5e-06  2.45s
  673  5.0e+04   5.4e-06   5.8e-07  2.45s
  674  5.0e+04   3.5e-07   3.0e-05  2.45s
  675  5.0e+04   3.7e-06   5.3e-07  2.46s
  676  4.9e+04   1.5e-05   7.6e-07  2.46s
  677  3.3e+04   1.6e-05   6.9e-07  2.46s
  678  8.8e+04   9.9e-07   1.1e-06  2.46s
  679  8.5e+04   3.8e-07   5.8e-07  2.47s
  680  5.0e+04   3.3e-06   5.8e-06  2.47s
  681  4.7e+04   8.1e-07   1.6e-06  2.47s
  682  4.6e+04   1.1e-06   3.6e-06  2.48s
  683  4.7e+04   4.9e-06   5.0e-07  2.48s
  684  4.9e+04   4.9e-06   1.1e-05  2.48s
  685  4.8e+04   2.4e-07   1.7e-06  2.48s
  686  4.7e+04   6.0e-06   7.8e-07  2.49s
  687  5.2e+04   1.8e-06   3.4e-06  2.49s
  688  5.4e+04   1.2e-06   1.2e-06  2.49s
  689  5.6e+04   2.3e-06   7.0e-07  2.49s
  690  5.7e+04   2.8e-06   5.7e-07  2.50s
  691  5.8e+04   1.6e-06   2.6e-06  2.50s
  692  5.8e+04   8.1e-07   5.2e-07  2.50s
  693  5.9e+04   4.6e-06   1.5e-04  2.50s
  694  5.9e+04   1.3e-06   1.1e-06  2.51s
  695  6.0e+04   2.2e-06   5.0e-07  2.51s
  696  5.9e+04   1.1e-06   3.5e-05  2.51s
  697  5.9e+04   3.2e-06   5.0e-07  2.51s
  698  6.2e+04   2.2e-06   9.8e-07  2.52s
  699  6.3e+04   1.3e-06   9.1e-05  2.52s
  700  6.4e+04   3.4e-06   8.5e-07  2.52s
  701  6.4e+04   2.6e-06   5.8e-07  2.52s
  702  6.5e+04   6.6e-07   4.4e-05  2.53s
  703  6.5e+04   6.5e-07   7.6e-07  2.53s
  704  6.5e+04   7.5e-06   7.3e-07  2.53s
  705  6.5e+04   9.8e-07   1.7e-05  2.53s
  706  6.5e+04   3.7e-06   5.0e-07  2.54s
  707  6.6e+04   2.5e-06   1.4e-06  2.54s
  708  6.8e+04   1.1e-05   1.4e-06  2.54s
  709  6.3e+04   2.9e-06   5.2e-07  2.54s
  710  6.4e+04   3.2e-07   3.9e-06  2.55s
  711  6.2e+04   1.3e-06   5.6e-04  2.55s
  712  6.3e+04   1.7e-06   5.3e-07  2.55s
  713  6.3e+04   4.6e-06   8.2e-07  2.56s
  714  6.4e+04   2.7e-06   1.1e-06  2.56s
  715  6.4e+04   1.9e-06   5.1e-07  2.56s
  716  4.6e+04   8.3e-05   1.9e-06  2.56s
  717  7.3e+04   7.9e-08   9.9e-06  2.57s
  718  7.2e+04   1.1e-06   5.6e-07  2.57s
  719  7.2e+04   8.3e-07   4.3e-06  2.57s
  720  7.4e+04   1.0e-05   5.9e-07  2.57s
  721  7.3e+04   8.3e-07   9.6e-07  2.58s
  722  7.3e+04   1.2e-06   5.7e-07  2.58s
  723  7.4e+04   4.2e-06   9.2e-05  2.58s
  724  7.6e+04   2.2e-06   5.0e-07  2.58s
  725  7.6e+04   3.0e-07   3.7e-06  2.59s
  726  6.7e+04   6.0e-05   9.5e-07  2.59s
  727  7.9e+04   3.5e-07   2.4e-06  2.59s
  728  8.0e+04   4.0e-06   1.2e-06  2.59s
  729  8.1e+04   1.1e-06   5.4e-06  2.60s
  730  8.1e+04   1.9e-07   9.6e-07  2.60s
  731  8.2e+04   1.7e-05   7.3e-07  2.60s
  732  8.2e+04   3.4e-07   1.6e-05  2.60s
  733  8.2e+04   1.4e-05   5.0e-07  2.61s
  734  8.2e+04   3.9e-07   2.7e-04  2.61s
  735  8.2e+04   5.0e-06   6.2e-07  2.61s
  736  8.2e+04   2.5e-07   8.8e-07  2.61s
  737  8.2e+04   4.9e-05   5.0e-07  2.62s
  738  5.5e+04   8.3e-05   1.0e-06  2.62s
  739  8.1e+04   3.0e-08   9.3e-07  2.62s
  740  8.1e+04   2.8e-07   2.8e-06  2.63s
  741  8.1e+04   3.1e-06   1.1e-06  2.63s
  742  8.1e+04   5.9e-07   8.2e-06  2.63s
  743  8.1e+04   4.8e-06   5.6e-07  2.63s
  744  8.2e+04   1.0e-05   4.5e-06  2.64s
  745  8.2e+04   2.5e-06   5.9e-07  2.64s
  746  8.2e+04   1.4e-06   5.2e-06  2.64s
  747  8.1e+04   5.9e-06   5.1e-07  2.64s
  748  8.1e+04   2.8e-07   4.1e-06  2.65s
  749  8.4e+04   1.5e-05   6.2e-07  2.65s
  750  9.0e+04   5.4e-06   5.3e-07  2.65s
  751  8.7e+04   1.7e-07   1.6e-04  2.65s
  752  9.0e+04   8.3e-06   8.1e-07  2.66s
  753  9.0e+04   9.8e-07   1.8e-06  2.66s
  754  9.0e+04   7.7e-07   6.6e-07  2.66s
  755  9.0e+04   2.8e-06   5.1e-07  2.66s
  756  9.2e+04   2.6e-06   2.2e-05  2.67s
  757  9.2e+04   5.6e-07   1.7e-06  2.67s
  758  9.3e+04   2.1e-05   5.2e-07  2.67s
  759  9.2e+04   1.0e-07   1.8e-05  2.67s
  760  9.3e+04   2.6e-05   5.7e-07  2.68s
  761  9.3e+04   8.4e-07   2.4e-06  2.68s
  762  9.3e+04   3.2e-07   6.1e-07  2.68s
  763  9.2e+04   4.4e-06   1.8e-06  2.68s
  764  9.2e+04   1.3e-06   3.8e-05  2.69s
  765  9.2e+04   9.7e-06   5.4e-07  2.69s
  766  9.2e+04   1.4e-06   8.8e-07  2.69s
  767  9.4e+04   1.3e-05   1.1e-06  2.69s
  768  9.6e+04   9.4e-07   5.0e-07  2.70s
  769  9.2e+04   3.3e-07   1.4e-05  2.70s
  770  9.2e+04   3.4e-07   8.1e-07  2.70s
  771  9.2e+04   2.6e-05   1.7e-06  2.70s
  772  9.5e+04   1.4e-05   5.0e-07  2.71s
  773  9.6e+04   3.4e-07   2.7e-06  2.71s
  774  9.5e+04   2.2e-06   9.3e-07  2.71s
  775  9.5e+04   8.7e-07   3.8e-06  2.71s
  776  9.4e+04   2.9e-06   5.4e-07  2.72s
  777  9.4e+04   1.6e-07   6.6e-06  2.72s
  778  9.4e+04   2.3e-05   1.1e-06  2.72s
  779  9.3e+04   5.0e-07   7.9e-06  2.73s
  780  9.4e+04   7.2e-06   6.8e-07  2.73s
  781  9.4e+04   2.5e-07   1.2e-06  2.73s
  782  9.4e+04   7.1e-06   9.5e-05  2.73s
  783  9.4e+04   1.4e-07   5.1e-07  2.74s
  784  9.4e+04   2.0e-05   8.7e-06  2.74s
  785  9.3e+04   2.6e-05   5.2e-07  2.74s
  786  9.4e+04   1.0e-06   6.0e-07  2.74s
  787  9.4e+04   6.2e-07   2.9e-05  2.75s
  788  9.5e+04   1.1e-05   6.8e-07  2.75s
  789  9.6e+04   6.3e-06   5.4e-07  2.75s
  790  1.0e+05   1.8e-06   1.1e-06  2.75s
  791  9.7e+04   3.0e-07   6.1e-05  2.76s
  792  9.6e+04   3.0e-06   5.0e-07  2.76s
  793  7.2e+04   4.1e-05   1.5e-06  2.76s
  794  1.3e+05   2.0e-06   6.1e-07  2.76s
  795  1.1e+05   2.2e-07   8.1e-07  2.77s
  796  1.2e+05   1.2e-06   6.3e-06  2.77s
  797  1.3e+05   2.7e-06   2.1e-06  2.77s
  798  1.3e+05   9.1e-07   5.9e-07  2.77s
  799  1.3e+05   5.5e-07   1.1e-06  2.78s
  800  1.3e+05   1.3e-05   5.0e-07  2.78s
  801  9.3e+04   8.1e-06   2.7e-06  2.78s
  802  9.3e+04   2.5e-08   6.3e-07  2.79s
  803  1.0e+05   3.6e-05   3.7e-05  2.79s
  804  1.0e+05   3.9e-07   5.0e-07  2.79s
  805  1.1e+05   4.9e-06   1.9e-04  2.79s
  806  1.1e+05   2.9e-07   8.3e-07  2.80s
  807  1.1e+05   9.9e-06   1.3e-06  2.80s
  808  1.1e+05   1.6e-05   5.0e-07  2.80s
  809  1.1e+05   3.3e-07   4.8e-06  2.80s
  810  1.1e+05   1.5e-06   7.6e-07  2.81s
  811  1.1e+05   2.2e-06   1.1e-06  2.81s
  812  1.1e+05   2.2e-06   4.7e-06  2.81s
  813  1.1e+05   4.3e-06   5.9e-07  2.81s
  814  1.1e+05   2.2e-06   7.7e-07  2.82s
  815  1.1e+05   1.1e-06   3.1e-06  2.82s
  816  1.1e+05   1.3e-06   5.1e-07  2.82s
  817  1.2e+05   2.7e-06   8.9e-05  2.83s
  818  1.1e+05   8.1e-06   5.4e-07  2.83s
  819  1.2e+05   3.9e-07   2.0e-06  2.83s
  820  1.2e+05   1.8e-05   5.3e-07  2.83s
  821  1.0e+05   9.6e-07   2.8e-06  2.84s
  822  1.0e+05   6.2e-08   1.7e-06  2.84s
  823  9.9e+04   3.6e-05   6.7e-07  2.84s
  824  9.6e+04   7.3e-07   1.5e-04  2.84s
  825  9.7e+04   4.3e-06   5.0e-07  2.85s
  826  9.6e+04   3.0e-07   1.7e-05  2.85s
  827  9.3e+04   2.4e-05   6.9e-07  2.85s
  828  9.3e+04   1.4e-07   8.3e-07  2.86s
  829  8.5e+04   2.1e-05   8.5e-07  2.86s
  830  8.3e+04   7.2e-07   6.6e-06  2.86s
  831  1.2e+05   2.2e-04   1.1e-06  2.86s
  832  8.7e+04   3.3e-08   6.7e-07  2.87s
  833  8.9e+04   1.1e-06   1.5e-06  2.87s
  834  9.5e+04   4.4e-06   6.0e-07  2.87s
  835  9.6e+04   1.1e-06   3.3e-06  2.87s
  836  6.4e+04   2.8e-05   6.0e-07  2.88s
  837  1.1e+05   4.2e-07   2.4e-06  2.88s
  838  1.1e+05   7.4e-07   1.3e-06  2.88s
  839  1.1e+05   6.8e-06   5.1e-07  2.88s
  840  1.1e+05   9.7e-08   4.6e-05  2.89s
  841  1.2e+05   3.0e-05   5.0e-07  2.89s
  842  1.3e+05   9.7e-07   6.0e-04  2.89s
  843  1.3e+05   6.9e-07   5.3e-07  2.90s
  844  1.3e+05   1.2e-06   7.5e-07  2.90s
  845  1.3e+05   1.8e-06   1.5e-05  2.90s
  846  1.3e+05   1.5e-06   5.8e-07  2.90s
  847  1.3e+05   2.0e-06   1.3e-06  2.91s
  848  1.3e+05   1.2e-06   3.8e-06  2.91s
  849  1.3e+05   1.4e-06   6.5e-07  2.91s
  850  1.3e+05   2.4e-05   1.6e-06  2.91s
  851  1.3e+05   8.0e-07   5.5e-07  2.92s
  852  1.3e+05   2.6e-06   5.5e-06  2.92s
  853  1.3e+05   7.3e-07   7.4e-07  2.92s
  854  1.3e+05   5.8e-07   1.0e-05  2.92s
  855  1.3e+05   1.4e-06   1.2e-06  2.93s
  856  1.3e+05   4.8e-06   8.2e-07  2.93s
  857  1.3e+05   6.6e-06   5.0e-07  2.93s
  858  1.2e+05   1.7e-05   1.0e-05  2.93s
  859  1.2e+05   3.7e-07   2.4e-06  2.94s
  860  1.2e+05   4.7e-06   5.1e-07  2.94s
  861  1.2e+05   5.9e-07   9.8e-05  2.94s
  862  1.2e+05   2.4e-06   5.1e-07  2.94s
  863  1.2e+05   3.5e-07   3.3e-06  2.95s
  864  1.2e+05   3.9e-06   5.7e-07  2.95s
  865  1.2e+05   2.1e-06   2.9e-06  2.95s
  866  1.3e+05   3.5e-05   5.8e-07  2.95s
  867  1.3e+05   3.1e-07   2.4e-06  2.96s
  868  1.3e+05   4.4e-06   7.8e-07  2.96s
  869  1.3e+05   2.4e-06   5.8e-07  2.96s
  870  1.4e+05   5.4e-06   5.3e-06  2.96s
  871  1.4e+05   1.6e-06   5.5e-07  2.97s
  872  1.5e+05   5.7e-07   1.8e-05  2.97s
  873  1.4e+05   1.8e-06   2.0e-06  2.97s
  874  1.5e+05   7.0e-06   5.0e-07  2.97s
  875  4.6e+05   3.5e-05   1.0e-06  2.98s
  876  2.2e+04   4.6e-07   7.2e-07  2.98s
  877  1.7e+04   9.9e-07   1.6e-06  2.98s
  878  6.9e+04   3.7e-06   8.4e-07  2.98s
  879  9.0e+04   8.3e-07   8.6e-05  2.99s
  880  7.5e+04   3.0e-06   5.0e-07  2.99s
  881  7.5e+04   9.2e-08   1.4e-05  2.99s
  882  7.8e+04   6.4e-06   1.3e-06  2.99s
  883  7.8e+04   9.0e-07   7.6e-07  3.00s
  884  7.9e+04   4.5e-06   1.8e-06  3.00s
  885  8.0e+04   6.2e-07   4.0e-05  3.00s
  886  8.0e+04   6.3e-06   6.3e-07  3.00s
  887  8.2e+04   6.8e-06   5.5e-07  3.01s
  888  8.4e+04   9.9e-07   4.3e-06  3.01s
  889  8.3e+04   2.1e-06   6.5e-07  3.01s
  890  1.2e+05   1.8e-05   6.7e-07  3.01s
  891  5.9e+04   6.6e-07   2.4e-06  3.02s
  892  6.6e+04   1.1e-06   5.2e-07  3.02s
  893  2.8e+05   1.2e-05   9.4e-04  3.02s
  894  2.8e+05   2.3e-07   5.1e-07  3.03s
  895  6.4e+05   1.9e-05   1.3e-06  3.03s
  896  1.7e+06   7.7e-06   8.9e-07  3.03s
  897  6.1e+05   4.9e-07   1.2e-06  3.03s
  898  4.5e+05   2.8e-06   5.2e-07  3.04s
  899  3.7e+05   6.1e-07   2.4e-05  3.04s
  900  3.7e+05   6.8e-08   6.3e-07  3.04s
  901  2.1e+05   5.4e-05   2.6e-06  3.04s
  902  2.1e+05   4.5e-07   6.4e-07  3.05s
  903  3.0e+04   1.0e-05   1.4e-06  3.05s
  904  4.4e+04   1.6e-06   5.2e-07  3.05s
  905  7.6e+03   8.5e-07   1.8e-05  3.05s
  906  8.5e+03   3.2e-06   5.4e-07  3.06s
  907  5.1e+04   2.7e-06   2.0e-06  3.06s
  908  1.0e+05   4.1e-06   8.5e-07  3.06s
  909  1.7e+05   6.8e-07   1.1e-04  3.06s
  910  1.0e+05   3.0e-06   5.0e-07  3.07s
  911  1.1e+05   3.6e-07   3.0e-06  3.07s
  912  1.0e+05   1.5e-06   1.7e-05  3.07s
  913  1.0e+05   9.0e-07   1.0e-06  3.07s
  914  1.0e+05   2.5e-06   6.3e-07  3.08s
  915  1.0e+05   1.0e-06   1.5e-05  3.08s
  916  1.0e+05   9.4e-06   5.1e-07  3.08s
  917  1.0e+05   4.4e-07   2.4e-06  3.08s
  918  1.0e+05   2.1e-06   5.6e-07  3.09s
  919  1.0e+05   3.9e-06   9.1e-07  3.09s
  920  1.1e+05   2.9e-06   1.5e-05  3.09s
  921  1.1e+05   1.1e-06   7.7e-07  3.09s
  922  1.1e+05   8.1e-07   2.3e-05  3.10s
  923  1.1e+05   9.4e-07   5.1e-07  3.10s
  924  1.1e+05   8.2e-06   9.2e-07  3.10s
  925  1.0e+05   8.4e-06   6.0e-07  3.10s
  926  1.0e+05   1.8e-06   9.0e-07  3.11s
  927  1.1e+05   3.5e-06   5.2e-07  3.11s
  928  1.1e+05   9.1e-07   8.2e-06  3.11s
  929  1.1e+05   8.8e-07   2.2e-06  3.11s
  930  1.1e+05   2.5e-06   9.0e-07  3.12s
  931  1.1e+05   4.4e-06   5.0e-07  3.12s
  932  1.1e+05   2.8e-06   2.7e-06  3.12s
  933  1.1e+05   1.2e-06   6.6e-07  3.12s
  934  1.0e+05   5.0e-06   6.1e-07  3.13s
  935  9.4e+04   1.8e-06   6.1e-05  3.13s
  936  8.5e+04   3.0e-06   5.0e-07  3.13s
  937  1.2e+05   3.0e-06   1.9e-06  3.13s
  938  1.4e+05   8.4e-07   6.4e-06  3.14s
  939  1.5e+05   2.3e-06   1.6e-06  3.14s
  940  1.6e+05   3.3e-06   5.5e-07  3.14s
  941  1.5e+05   2.4e-07   5.6e-05  3.15s
  942  1.4e+05   2.0e-05   5.9e-07  3.15s
  943  1.5e+05   2.5e-07   1.4e-06  3.15s
  944  1.5e+05   2.6e-06   5.7e-07  3.15s
  945  1.5e+05   5.2e-07   3.6e-05  3.16s
  946  1.4e+05   1.3e-05   5.0e-07  3.16s
  947  1.4e+05   2.7e-07   1.3e-06  3.16s
  948  1.4e+05   4.7e-05   6.4e-07  3.16s
  949  1.4e+05   2.2e-07   7.9e-05  3.17s
  950  1.4e+05   2.8e-06   5.1e-07  3.17s
  951  1.3e+05   6.1e-06   1.1e-06  3.17s
  952  2.7e+05   1.9e-05   5.7e-07  3.17s
