A, b ready
BICGSTAB: system of size 252004
    k     ‖rₖ‖      |αₖ|      |ωₖ|  timer
  108  8.0e+05   1.7e-06   1.3e-06  0.72s
  109  7.6e+05   3.1e-06   3.3e-06  0.72s
  110  7.6e+05   5.1e-07   2.1e-06  0.72s
  111  7.8e+05   1.4e-05   5.1e-07  0.73s
  112  7.5e+05   9.5e-07   9.6e-07  0.73s
  113  7.4e+05   6.1e-07   1.6e-05  0.74s
  114  7.2e+05   9.4e-06   5.2e-07  0.74s
  115  7.1e+05   8.9e-07   5.1e-05  0.74s
  116  7.0e+05   2.5e-06   5.2e-07  0.75s
  117  7.0e+05   8.1e-07   1.4e-05  0.75s
  118  7.0e+05   1.9e-06   5.2e-07  0.75s
  119  6.8e+05   6.9e-06   1.3e-06  0.75s
  120  6.7e+05   1.3e-06   7.8e-07  0.76s
  121  6.7e+05   1.4e-06   2.7e-06  0.76s
  122  6.6e+05   5.1e-06   6.3e-07  0.76s
  123  6.2e+05   2.2e-05   5.2e-07  0.76s
  124  6.3e+05   1.3e-07   1.8e-04  0.77s
  125  6.2e+05   6.2e-07   5.3e-07  0.77s
  126  6.1e+05   5.2e-06   4.7e-06  0.77s
  127  6.0e+05   2.4e-06   6.8e-07  0.77s
  128  6.0e+05   2.1e-06   8.9e-07  0.78s
  129  5.9e+05   1.6e-06   1.0e-06  0.78s
  130  5.8e+05   3.3e-06   2.5e-06  0.78s
  131  5.8e+05   3.9e-07   1.4e-06  0.78s
  132  5.7e+05   9.3e-06   5.1e-07  0.79s
  133  5.7e+05   1.2e-06   2.9e-06  0.79s
  134  5.7e+05   2.1e-07   5.6e-07  0.79s
  135  5.6e+05   8.8e-06   6.7e-05  0.80s
  136  5.7e+05   6.2e-05   5.0e-07  0.80s
  137  5.1e+05   5.8e-07   9.3e-06  0.80s
  138  5.3e+05   5.5e-07   1.5e-06  0.80s
  139  5.3e+05   5.2e-07   5.9e-06  0.81s
  140  5.3e+05   3.8e-06   5.2e-07  0.81s
  141  5.3e+05   2.6e-06   9.5e-07  0.81s
  142  5.2e+05   2.4e-06   1.1e-06  0.81s
  143  5.1e+05   1.3e-06   3.6e-06  0.82s
  144  5.2e+05   5.2e-06   5.1e-07  0.82s
  145  5.0e+05   1.7e-06   1.5e-06  0.82s
  146  5.0e+05   5.9e-07   1.5e-05  0.82s
  147  4.9e+05   5.5e-06   6.8e-07  0.83s
  148  5.0e+05   1.0e-06   5.7e-07  0.83s
  149  4.5e+05   1.7e-05   5.3e-07  0.84s
  150  4.5e+05   3.6e-07   2.2e-06  0.84s
  151  4.6e+05   8.5e-07   4.9e-04  0.84s
  152  4.4e+05   5.3e-06   5.0e-07  0.84s
  153  4.3e+05   2.0e-06   2.0e-06  0.85s
  154  4.3e+05   2.0e-06   8.4e-07  0.85s
  155  4.3e+05   1.7e-06   1.7e-06  0.85s
  156  4.2e+05   5.5e-06   6.2e-07  0.86s
  157  4.1e+05   6.7e-07   4.7e-05  0.86s
  158  4.1e+05   9.7e-07   5.7e-07  0.86s
  159  4.1e+05   3.2e-06   6.0e-07  0.87s
  160  3.9e+05   5.5e-05   2.8e-06  0.87s
  161  4.4e+05   5.1e-07   5.2e-07  0.88s
  162  4.0e+05   2.5e-07   2.7e-05  0.88s
  163  4.0e+05   4.3e-06   5.2e-07  0.89s
  164  3.9e+05   1.6e-06   1.8e-06  0.89s
  165  3.9e+05   1.5e-06   7.7e-07  0.90s
  166  3.9e+05   1.4e-06   1.5e-05  0.90s
  167  3.8e+05   6.1e-06   5.1e-07  0.90s
  168  3.8e+05   1.2e-06   1.3e-06  0.91s
  169  3.8e+05   5.6e-06   7.4e-07  0.91s
  170  3.8e+05   1.5e-06   2.3e-06  0.91s
  171  3.5e+05   7.2e-06   5.4e-07  0.91s
  172  3.4e+05   3.2e-07   3.1e-06  0.92s
  173  3.7e+05   8.8e-07   4.4e-05  0.92s
  174  3.6e+05   3.4e-06   5.5e-07  0.92s
  175  3.6e+05   2.6e-06   8.4e-07  0.92s
  176  3.6e+05   1.4e-06   1.2e-06  0.93s
  177  3.5e+05   1.7e-06   3.5e-06  0.93s
  178  3.5e+05   1.4e-06   5.2e-07  0.93s
  179  3.5e+05   3.9e-06   1.1e-06  0.93s
  180  3.5e+05   7.8e-07   2.2e-05  0.94s
  181  3.4e+05   1.0e-05   5.2e-07  0.94s
  182  4.1e+05   5.4e-05   6.5e-07  0.94s
  183  4.0e+05   1.9e-08   5.5e-07  0.94s
  184  3.4e+05   8.0e-07   7.9e-05  0.95s
  185  3.4e+05   1.3e-05   4.7e-06  0.95s
  186  3.3e+05   2.4e-06   5.2e-07  0.95s
  187  3.3e+05   5.8e-07   9.3e-07  0.95s
  188  3.3e+05   1.7e-06   9.1e-07  0.96s
  189  3.2e+05   3.8e-06   5.0e-06  0.96s
  190  3.2e+05   2.2e-06   5.2e-07  0.96s
  191  3.2e+05   1.2e-06   1.3e-05  0.96s
  192  3.1e+05   4.6e-06   6.0e-07  0.97s
  193  3.1e+05   1.3e-06   6.8e-07  0.97s
  194  3.1e+05   1.9e-06   2.6e-06  0.97s
  195  3.1e+05   2.1e-06   6.0e-07  0.98s
  196  3.0e+05   3.7e-06   1.4e-06  0.98s
  197  3.0e+05   5.3e-07   1.5e-05  0.98s
  198  3.0e+05   1.6e-06   5.0e-07  0.98s
  199  3.7e+05   6.3e-05   7.7e-07  0.99s
  200  3.6e+05   1.1e-07   9.1e-06  0.99s
  201  3.0e+05   2.0e-06   4.4e-06  0.99s
  202  2.9e+05   1.6e-06   8.7e-07  0.99s
  203  2.9e+05   1.8e-07   4.6e-06  1.00s
  204  2.9e+05   3.6e-05   5.0e-07  1.00s
  205  2.9e+05   1.2e-05   6.3e-07  1.00s
  206  2.8e+05   2.0e-07   4.8e-04  1.00s
  207  2.7e+05   4.7e-06   5.1e-07  1.01s
  208  2.7e+05   7.5e-07   1.1e-06  1.01s
  209  2.7e+05   1.3e-05   7.1e-07  1.01s
  210  2.6e+05   8.1e-07   1.1e-06  1.01s
  211  2.6e+05   5.9e-07   6.3e-06  1.02s
  212  2.6e+05   7.0e-07   3.0e-06  1.02s
  213  2.6e+05   2.1e-07   7.0e-07  1.02s
  214  2.6e+05   1.7e-04   5.3e-07  1.02s
  215  2.6e+05   1.6e-06   6.7e-06  1.03s
  216  2.5e+05   1.1e-06   6.7e-07  1.03s
  217  2.5e+05   3.2e-06   1.0e-05  1.03s
  218  2.5e+05   1.6e-06   5.1e-07  1.03s
  219  2.5e+05   1.8e-06   1.6e-05  1.04s
  220  2.5e+05   4.4e-06   5.0e-07  1.04s
  221  2.5e+05   1.1e-06   1.0e-06  1.04s
  222  2.4e+05   2.1e-06   1.2e-04  1.05s
  223  2.4e+05   7.9e-07   7.2e-07  1.05s
  224  2.4e+05   6.4e-06   6.5e-07  1.05s
  225  2.4e+05   1.1e-07   1.2e-06  1.05s
  226  2.4e+05   2.4e-05   1.2e-06  1.06s
  227  2.3e+05   2.0e-06   9.5e-06  1.06s
  228  3.3e+05   2.4e-04   5.0e-07  1.06s
  229  2.3e+05   2.0e-08   1.5e-06  1.06s
  230  2.3e+05   2.1e-06   4.8e-06  1.07s
  231  2.3e+05   5.1e-07   2.0e-06  1.07s
  232  2.3e+05   3.2e-07   9.8e-07  1.07s
  233  2.3e+05   1.8e-05   5.4e-07  1.07s
  234  2.2e+05   1.6e-06   2.9e-04  1.08s
  235  2.2e+05   6.4e-06   5.2e-07  1.08s
  236  2.2e+05   3.4e-07   7.3e-07  1.08s
  237  2.2e+05   7.2e-06   5.2e-07  1.08s
  238  2.1e+05   5.0e-06   7.0e-07  1.09s
  239  2.7e+05   8.3e-06   8.9e-07  1.09s
  240  2.1e+05   3.1e-07   4.3e-05  1.09s
  241  2.1e+05   6.6e-07   1.0e-05  1.09s
  242  2.1e+05   1.7e-06   5.5e-07  1.10s
  243  2.2e+05   4.8e-05   5.2e-07  1.10s
  244  2.2e+05   1.7e-07   1.8e-06  1.10s
  245  2.1e+05   3.4e-06   8.5e-07  1.10s
  246  2.0e+05   1.6e-06   7.3e-07  1.11s
  247  2.0e+05   3.2e-07   6.9e-05  1.11s
  248  2.0e+05   1.6e-05   5.0e-07  1.11s
  249  1.9e+05   1.3e-06   4.9e-04  1.11s
  250  1.9e+05   1.0e-06   8.1e-07  1.12s
  251  1.9e+05   5.9e-06   7.5e-07  1.12s
  252  1.9e+05   1.1e-06   1.5e-06  1.12s
  253  1.9e+05   1.2e-06   5.5e-07  1.13s
  254  1.9e+05   5.7e-07   1.1e-05  1.13s
  255  1.9e+05   3.1e-07   1.3e-06  1.13s
  256  1.9e+05   5.5e-05   9.4e-07  1.13s
  257  1.8e+05   1.9e-06   5.4e-07  1.14s
  258  1.8e+05   1.4e-06   4.0e-06  1.14s
  259  1.9e+05   1.8e-05   5.0e-07  1.14s
  260  1.8e+05   1.9e-07   6.6e-05  1.14s
  261  1.8e+05   2.7e-06   6.6e-07  1.15s
  262  1.8e+05   2.6e-06   1.4e-06  1.15s
  263  1.8e+05   2.2e-06   2.5e-06  1.15s
  264  1.8e+05   2.0e-06   7.0e-07  1.15s
  265  1.8e+05   2.8e-05   6.2e-07  1.16s
  266  1.7e+05   2.3e-07   1.4e-05  1.16s
  267  1.7e+05   4.8e-07   8.4e-07  1.16s
  268  1.7e+05   3.6e-06   1.5e-06  1.16s
  269  1.7e+05   5.3e-06   5.4e-07  1.17s
  270  1.7e+05   4.8e-07   3.4e-05  1.17s
